,activity_id,join_date,userid,weight,feedback
135,450196,2024-08-17T21:35:26.883211Z,16010,17.0,"3-4 bread rolls 
 3 400g bags of baby spinach leaves 
 5 small packs of shredded carrots 
 2 trays of vegetarian cheese schnitzels 
 2 packs of thinly sliced meatloaf 
 4 trays of ready meal ham fried rice with sweet sour sauce 
 4 rice bowl ready meals 
 a ready meal of linguine carbonara 
 a packaged tomato mozzarella wrap 
 6 packs of ready to cook sliced potatoes"
136,449783,2024-08-16T18:32:09.524656Z,16010,9.0,"6 packs of dry rice vermicelli 
 5 jars of yellow lantern chilli sauce 
 4 jars of rouille sauce 
 2 canisters of milo instant cocoa drink powder 
 a small can of fermented pickled mustard greens 
 2 big bags of dry blacked soybeans 
 4 packs of frozen galangal"
137,450758,2024-08-12T22:57:15.071907Z,16010,7.0,"2 packs of fresh beef burgers 
 3 linguine carbonara ready meals 
 4 packs of artisan truffle ravioli ready to cook 
 a ready to eat falafel salad bowl 
 2 bags of salad leaves 
 a bag of bakery pains au chocolat"
138,448402,2024-08-12T18:37:30.601173Z,13155,9.0,"2 minced pork-beef 
 1 precut vegetables 
 1 cabbage 
 1 spaghetti 
 5 eggs 
 1 bread 
 2 bags of pastries"
139,449502,2024-08-14T10:30:45.938800Z,16399,0.0,"there were some sausages 
 some buns 
 some donuts 
 the donuts were no longer edible rock hard sohad to throw them out"
140,449161,2024-08-07T19:02:58.769866Z,16010,2.0,"a chocolate croissant 
 a triangle club chicken curry s 
 a bag of salad leaves"
141,448442,2024-08-05T19:10:01.548857Z,16010,4.0,"ful of different bread rolls 
 a chocolate croissant 
 a big bag full of unripe little green pears 
 apples 
 we both took as many of these fruits ascould but there were still some leftover"
142,448017,2024-08-04T11:28:07.168713Z,16010,12.0,"an enormous quantity of bread 
 especially packages of bread rolls 
 sliced bread 
 some massive artisan bread loaves 
 garlic butter 
 2 pizza slices 
 a strawberry bavarois 
 a tub of cut fruit 
 many bread loaves 
 accompanying me to the nearest bus stop socould drop off the excess bread"
143,445594,2024-08-03T17:51:11.933739Z,13155,12.0,"3 pre cook meals 
 6 pax of hot dogs 
 4 pax of pre cut potatoes 
 1pax of chicken legs 
 2 pax of spinach 
 several bread 
 pastries 
 we shared some foods to the homeless peoples at brusselsestraat"
144,445206,2024-08-04T14:28:47.105491Z,2834,15.0,"some salad dressings approx 6 
 a lot of bags with condiments for asian food 
 ice tea"
145,444774,2024-08-01T20:30:30.171922Z,16010,0.0,perishable? food will be returned to suppliers in new agreements with them
146,444774,2024-08-04T14:22:40.556647Z,2834,0.0,thay told us the store no longer will be giving food since they have a new agreement with their suppliers
147,446893,2024-07-31T21:34:24.971216Z,16010,0.5,"a large bag of mixed soup vegetables 
 a 2 person serving bag of mixed salad leaves 
 elise was very gracious enough to give me 2 6-packs of soft hamburger buns from one of her pickups"
148,446161,2024-07-29T19:25:51.281660Z,16010,2.5,"2 packs of precooked baby potatoes 
 a ready-to-heat rice meal 
 2 500g packs of soup vegetables"
149,445649,2024-07-27T20:01:03.302241Z,16010,3.0,"was able to collect food from the shopkeeper 
 4 prepared meals 
 a tub of peach yogurt"
150,443342,2024-07-27T17:43:57.304551Z,15952,8.0,"got mostly bread 
 some salad 
 fruit"
151,445597,2024-07-27T19:59:04.511417Z,16010,10.0,"lots of massive white bread loaves 
 including artisan bread loaves 
 2 prepared meals 
 a package of chicken hearts ? 
 3 bags of mixed stir-fry wok veggies 
 a little tub of cut mangoes"
152,443024,2024-07-26T18:44:25.736991Z,2834,5.0,"i got 2 pre-made meals 
 pastries 
 bread 
 1 kg of potatoes 
 1 pack of pancakes"
153,444923,2024-07-26T06:46:56.786145Z,14081,0.0,
154,444871,2024-07-25T17:18:56.945487Z,17853,0.0,
155,442485,2024-07-25T15:37:01.871790Z,15952,4.0,meats products
156,444541,2024-07-24T18:21:44.240571Z,13155,25.0,"there are a lot of dry pasta 
 desserts 
 vegetables 
 some meat 
 pre cook meals 
 along with bread 
 pastries"
157,441907,2024-07-26T18:38:44.766131Z,2834,8.0,"i got two pack of natural yogurt 4 boxes of humus 
 bread 
 some pastries 
 some carrots 
 radishes 
 2 kg of bananas 
 2 pudding with raisins"
