,lat,lon,city,housenumber,postcode,street,name,opening_hours,amenity_type,amenity_extra,website,x,y,statistical_sector
345,50.8810888,4.6993952,Leuven,45,3000,Mechelsestraat,De Tartine,,restaurant,lunch,,173268.67297031864,174576.9966972703,Lei - vismarkt
346,50.88104,4.699367,Leuven,43,3000,Mechelsestraat,Cuore Italiano,"Mo,We-Sa 12:00-15:00,18:00-23:00",restaurant,italian,https://www.cuoreitaliano.be/,173266.71265506707,174571.55929697957,Lei - vismarkt
347,50.8830579,4.6982185,Leuven,111,3000,Mechelsestraat,Trattoria Oratoriënhof,,restaurant,italian,,173184.89045236591,174795.67198161036,Lei - vismarkt
348,50.8851664,4.6975465,Leuven,177,3000,Mechelsestraat,Brasserie Absolut,,restaurant,french;brasserie,https://www.brasserie-absolut.be/,173136.56064485104,175030.01316672657,Leuven mechelse straat
349,50.884454,4.6981572,Leuven,140,3000,Mechelsestraat,Bodhi,Tu-Sa 11:00-18:00,restaurant,asian,https://www.bodhiplantbased.be,173179.88635662146,174950.95606254507,Leuven mechelse straat
350,50.8809747,4.6995078,Leuven,46,3000,Mechelsestraat,Hokkaido Sushi,"Tu-Su 11:30-14:00,17:00-22:00",restaurant,sushi,https://hokkaido.klikeneet.be/,173276.6536907099,174564.3394980561,Lei - vismarkt
351,50.9198787,4.758522,Holsbeek,2,3220,Meesberg,Devi & Emmanuelle,,butcher_shop,,,177406.9408343424,178912.24265911616,Holsbeek-centrum
352,50.831304,4.7269669,Oud-Heverlee,49,3053,Milsestraat,Den Deugniet,,pub,belgian,,175235.75824844927,169047.96768851392,Haasrode-kern
353,50.8773269,4.6981656,Leuven,1,3000,Minderbroedersstraat,Lama Nachtwinkel,,grocery_shop,night_shop,,173184.00190726243,174158.13515297044,Damiaanplein
354,50.8586455,4.6157263,Bertem,7,3060,Molenstraat,Bistro 't Moleke,,restaurant,cafe,,167388.9046934749,172057.4303533556,Sint-veroneveldekens
355,50.8790835,4.7060553,Leuven,8,3000,Monseigneur Ladeuzeplein,Den Beiaard,,cafe,brasserie,,173738.38341282358,174356.0382368574,Ladeuze
